Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls90;Ast90;G+A90;G-PK90;G+A-PK90
Algeria;20;27.2;68.3;3;33;270;3.0;3;2;5;3;0;0;9;0;1.00;0.67;1.67;1.00;1.67
Angola;21;27.1;46.2;5;55;450;5.0;9;4;13;8;1;1;8;1;1.80;0.80;2.60;1.60;2.40
Burkina Faso;23;25.8;48.3;4;44;360;4.0;4;1;5;1;3;3;12;0;1.00;0.25;1.25;0.25;0.50
Cameroon;20;25.9;58.5;4;44;360;4.0;4;4;8;4;0;0;7;0;1.00;1.00;2.00;1.00;2.00
Cape Verde;21;28.0;54.0;5;55;480;5.3;8;3;11;7;1;1;7;0;1.50;0.56;2.06;1.31;1.87
Congo DR;22;27.4;45.6;7;77;660;7.3;6;2;8;5;1;2;8;0;0.82;0.27;1.09;0.68;0.95
Côte d'Ivoire;24;25.9;58.1;7;77;690;7.7;8;5;13;7;1;1;17;2;1.04;0.65;1.70;0.91;1.57
Egypt;22;27.9;57.3;4;44;390;4.3;7;4;11;5;2;2;7;1;1.62;0.92;2.54;1.15;2.08
Equ. Guinea;19;26.2;46.0;4;44;360;4.0;9;7;16;9;0;1;7;1;2.25;1.75;4.00;2.25;4.00
Gambia;23;24.8;42.0;3;33;270;3.0;2;2;4;2;0;0;5;1;0.67;0.67;1.33;0.67;1.33
Ghana;20;26.9;42.3;3;33;270;3.0;5;3;8;3;2;2;9;0;1.67;1.00;2.67;1.00;2.00
Guinea;23;25.8;49.4;5;55;450;5.0;4;2;6;3;1;1;8;1;0.80;0.40;1.20;0.60;1.00
Guinea-Bissau;24;25.9;46.3;3;33;270;3.0;1;1;2;1;0;0;1;0;0.33;0.33;0.67;0.33;0.67
Mali;23;25.6;58.4;5;55;480;5.3;5;4;9;5;0;1;7;1;0.94;0.75;1.69;0.94;1.69
Mauritania;23;25.3;37.3;4;44;360;4.0;3;2;5;3;0;0;8;0;0.75;0.50;1.25;0.75;1.25
Morocco;22;27.0;54.5;4;44;360;4.0;5;3;8;5;0;1;7;1;1.25;0.75;2.00;1.25;2.00
Mozambique;21;27.4;50.3;3;33;270;3.0;4;3;7;3;1;1;7;0;1.33;1.00;2.33;1.00;2.00
Namibia;21;27.4;43.5;4;44;360;4.0;1;1;2;1;0;0;4;1;0.25;0.25;0.50;0.25;0.50
Nigeria;22;26.1;43.0;7;77;660;7.3;7;4;11;5;2;2;12;0;0.95;0.55;1.50;0.68;1.23
Senegal;21;26.5;51.3;4;44;390;4.3;9;9;18;9;0;0;9;0;2.08;2.08;4.15;2.08;4.15
South Africa;21;27.7;51.9;7;77;690;7.7;7;4;11;5;2;3;6;1;0.91;0.52;1.43;0.65;1.17
Tanzania;17;26.0;51.3;3;33;270;3.0;1;1;2;1;0;0;5;1;0.33;0.33;0.67;0.33;0.67
Tunisia;19;27.3;51.7;3;33;270;3.0;1;1;2;1;0;0;2;0;0.33;0.33;0.67;0.33;0.67
Zambia;18;26.3;43.7;3;33;270;3.0;2;2;4;2;0;0;4;1;0.67;0.67;1.33;0.67;1.33